"业主ID","房屋信息","投诉类型","处理状态","评价等级","时间"
"1001","65㎡一居 | 单身青年 | 低楼层","噪音投诉:3次/月\n主要来源:楼上装修\n夜间施工扰民:2次","响应时间:平均4小时\n解决进度:已协调停工\n业主满意度:85%","满意度高于小区平均10%\n投诉处理效率前30%","2025-01"
"1002","70㎡两居 | 年轻夫妇 | 中楼层","停车位不足:每周2次\n访客停车难:3次/月","响应时间:平均6小时\n解决进度:登记排队中\n业主满意度:70%","满意度低于小区平均5%\n停车问题待改善","2025-01"
"1003","90㎡三居 | 三口之家 | 高楼层","儿童游乐设施损坏:2次/月\n绿化维护不及时","响应时间:平均3小时\n解决进度:维修中\n业主满意度:90%","满意度高于小区平均15%\n设施维护响应迅速","2025-01"
"1004","85㎡两居 | 养宠家庭 | 中楼层","宠物粪便清理:4次/周\n电梯异味投诉:2次/月","响应时间:平均5小时\n解决进度:加强巡查\n业主满意度:75%","满意度与小区平均持平\n宠物管理需加强","2025-01"
"1005","120㎡四居 | 老人居住 | 低楼层","电梯故障:3次/月\n无障碍通道堵塞:2次","响应时间:平均2小时\n解决进度:紧急维修\n业主满意度:80%","满意度高于小区平均8%\n老人关怀服务良好","2025-01"
"1006","150㎡复式 | 多代同堂 | 顶楼","屋顶漏水:1次/月\n公共区域照明不足","响应时间:平均8小时\n解决进度:待材料采购\n业主满意度:65%","满意度低于小区平均10%\n漏水问题反复出现","2025-01"
"1007","55㎡一居 | 独居白领 | 中楼层","门禁系统故障:2次/月\n快递代收点拥挤","响应时间:平均3小时\n解决进度:系统升级中\n业主满意度:88%","满意度高于小区平均12%\n安保服务优质","2025-01"
"1008","100㎡三居 | 有孩家庭 | 中楼层","垃圾分类点异味:3次/周\n playground设备老化","响应时间:平均4小时\n解决进度:清洁频次增加\n业主满意度:82%","满意度高于小区平均7%\n环境卫生改善明显","2025-01"
"1009","80㎡两居 | 租户 | 低楼层","物业费缴纳咨询:2次/月\n维修服务响应慢","响应时间:平均7小时\n解决进度:优化流程中\n业主满意度:68%","满意度低于小区平均8%\n租户服务待提升","2025-01"
"1010","130㎡四居 | 三代同堂 | 高楼层","电梯频繁故障:4次/月\n楼道照明损坏:3处","响应时间:平均5小时\n解决进度:更换配件中\n业主满意度:72%","满意度低于小区平均3%\n高层设施维护滞后","2025-01"
"1001","65㎡一居 | 单身青年 | 低楼层","噪音投诉:2次/月\n装修已结束\n剩余问题:墙面修复","响应时间:平均3小时\n解决进度:跟进修复\n业主满意度:88%","满意度高于小区平均12%\n噪音问题明显改善","2025-02"
"1002","70㎡两居 | 年轻夫妇 | 中楼层","停车位抽签未中:1次\n访客停车券申请:2次","响应时间:平均5小时\n解决进度:等待下期抽签\n业主满意度:72%","满意度低于小区平均3%\n停车资源紧张","2025-02"
"1003","90㎡三居 | 三口之家 | 高楼层","游乐设施已修复\n新增滑梯安全垫:1次","响应时间:平均2小时\n解决进度:已完成\n业主满意度:92%","满意度高于小区平均17%\n设施更新及时","2025-02"
"1004","85㎡两居 | 养宠家庭 | 中楼层","宠物粪便减少:2次/周\n电梯异味改善","响应时间:平均4小时\n解决进度:持续监控\n业主满意度:80%","满意度高于小区平均5%\n环境有所改善","2025-02"
"1005","120㎡四居 | 老人居住 | 低楼层","电梯运行正常\n无障碍通道清理:1次/周","响应时间:平均2小时\n解决进度:定期巡查\n业主满意度:85%","满意度高于小区平均10%\n老人服务周到","2025-02"
"1006","150㎡复式 | 多代同堂 | 顶楼","漏水维修完成\n公共照明已更换:5盏","响应时间:平均6小时\n解决进度:观察期\n业主满意度:75%","满意度与小区平均持平\n漏水暂未复发","2025-02"
"1007","55㎡一居 | 独居白领 | 中楼层","门禁系统升级完成\n快递柜扩容:1组","响应时间:平均2小时\n解决进度:正常运行\n业主满意度:90%","满意度高于小区平均15%\n智能化改造成功","2025-02"
"1008","100㎡三居 | 有孩家庭 | 中楼层","垃圾分类点除臭:已安装\nplayground翻新计划启动","响应时间:平均3小时\n解决进度:施工中\n业主满意度:85%","满意度高于小区平均10%\n环境持续改善","2025-02"
